2024-10-17 16:09:25,920 - Frame: 270, CPU: 6.7%, Memory: 86.5%
2024-10-17 16:09:25,951 - Frame: 271, CPU: 3.4%, Memory: 86.5%
2024-10-17 16:09:25,981 - Frame: 272, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,013 - Frame: 273, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,044 - Frame: 274, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,077 - Frame: 275, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,107 - Frame: 276, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,138 - Frame: 277, CPU: 3.3%, Memory: 86.5%
2024-10-17 16:09:26,168 - Frame: 278, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,200 - Frame: 279, CPU: 5.3%, Memory: 86.5%
2024-10-17 16:09:26,231 - Frame: 280, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,263 - Frame: 281, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,293 - Frame: 282, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,324 - Frame: 283, CPU: 3.2%, Memory: 86.5%
2024-10-17 16:09:26,355 - Frame: 284, CPU: 3.7%, Memory: 86.5%
2024-10-17 16:09:26,386 - Frame: 285, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,417 - Frame: 286, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,448 - Frame: 287, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:26,480 - Frame: 288, CPU: 2.6%, Memory: 86.4%
2024-10-17 16:09:26,511 - Frame: 289, CPU: 3.7%, Memory: 86.4%
2024-10-17 16:09:26,543 - Frame: 290, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:26,574 - Frame: 291, CPU: 2.9%, Memory: 86.4%
2024-10-17 16:09:26,605 - Frame: 292, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:26,635 - Frame: 293, CPU: 3.7%, Memory: 86.4%
2024-10-17 16:09:26,668 - Frame: 294, CPU: 2.9%, Memory: 86.4%
2024-10-17 16:09:26,699 - Frame: 295, CPU: 2.5%, Memory: 86.4%
2024-10-17 16:09:26,729 - Frame: 296, CPU: 7.7%, Memory: 86.4%
2024-10-17 16:09:26,759 - Frame: 297, CPU: 3.0%, Memory: 86.4%
2024-10-17 16:09:26,792 - Frame: 298, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:26,823 - Frame: 299, CPU: 2.8%, Memory: 86.4%
2024-10-17 16:09:26,854 - Frame: 300, CPU: 3.6%, Memory: 86.4%
2024-10-17 16:09:26,885 - Frame: 301, CPU: 6.1%, Memory: 86.4%
2024-10-17 16:09:26,917 - Frame: 302, CPU: 2.9%, Memory: 86.4%
2024-10-17 16:09:26,949 - Frame: 303, CPU: 3.6%, Memory: 86.4%
2024-10-17 16:09:26,979 - Frame: 304, CPU: 6.2%, Memory: 86.4%
2024-10-17 16:09:27,011 - Frame: 305, CPU: 2.9%, Memory: 86.4%
2024-10-17 16:09:27,042 - Frame: 306, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,072 - Frame: 307, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,103 - Frame: 308, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,134 - Frame: 309, CPU: 3.3%, Memory: 86.4%
2024-10-17 16:09:27,166 - Frame: 310, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,199 - Frame: 311, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,230 - Frame: 312, CPU: 2.7%, Memory: 86.4%
2024-10-17 16:09:27,261 - Frame: 313, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,293 - Frame: 314, CPU: 6.5%, Memory: 86.4%
2024-10-17 16:09:27,323 - Frame: 315, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,355 - Frame: 316, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,386 - Frame: 317, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,417 - Frame: 318, CPU: 3.1%, Memory: 86.4%
2024-10-17 16:09:27,449 - Frame: 319, CPU: 5.9%, Memory: 86.4%
2024-10-17 16:09:27,477 - Frame: 320, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,511 - Frame: 321, CPU: 9.1%, Memory: 86.4%
2024-10-17 16:09:27,542 - Frame: 322, CPU: 7.1%, Memory: 86.4%
2024-10-17 16:09:27,574 - Frame: 323, CPU: 0.0%, Memory: 86.4%
2024-10-17 16:09:27,602 - Frame: 324, CPU: 3.1%, Memory: 86.4%
2024-10-17 16:09:27,635 - Frame: 325, CPU: 3.8%, Memory: 86.4%
